epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_contradiction_recall
1,0.848931,0.651024,0.693025,0.708926,0.709353,0.716451
2,0.740091,0.732359,0.644141,0.734629,0.733819,0.787506
3,0.684113,0.769472,0.627025,0.743140,0.741452,0.803839
4,0.622176,0.809944,0.618220,0.745828,0.745970,0.779929
5,0.552956,0.855448,0.629800,0.744988,0.745099,0.784981
6,0.489513,0.897431,0.657783,0.741292,0.741440,0.773026
7,0.445450,0.926797,0.676259,0.740284,0.740869,0.780940
8,0.424560,0.941531,0.681901,0.738437,0.738682,0.783802
