epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_contradiction_recall
1,0.922202,0.593386,0.803402,0.645649,0.643351,0.531908
2,0.836321,0.664916,0.747554,0.675888,0.675558,0.722007
3,0.786879,0.699811,0.714773,0.693303,0.693150,0.624516
4,0.733666,0.736110,0.702860,0.699014,0.698653,0.724870
5,0.666820,0.781054,0.701176,0.705006,0.704912,0.730426
6,0.589382,0.831652,0.728303,0.698566,0.697957,0.739518
7,0.524197,0.872505,0.758450,0.698902,0.698723,0.723859
8,0.489960,0.893937,0.777086,0.698286,0.698280,0.725543
