epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_contradiction_recall
1,0.922807,0.592325,0.791598,0.651361,0.650974,0.620812
2,0.831847,0.667730,0.746963,0.679863,0.679506,0.684122
3,0.776007,0.707278,0.717928,0.690895,0.689223,0.690689
4,0.706131,0.754488,0.701233,0.702878,0.702345,0.695740
5,0.606774,0.819244,0.726404,0.698510,0.697813,0.742886
6,0.500880,0.887834,0.779168,0.691623,0.691687,0.725038
7,0.427453,0.935038,0.815333,0.690391,0.690369,0.722512
8,0.395266,0.956208,0.827514,0.689719,0.689797,0.720660
