epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_contradiction_recall
1,0.847754,0.650673,0.687960,0.709486,0.709212,0.747432
2,0.740363,0.731891,0.646122,0.725781,0.725643,0.774373
3,0.685228,0.768712,0.622640,0.741348,0.741964,0.783128
4,0.623681,0.808846,0.620614,0.742972,0.741852,0.783970
5,0.555551,0.853705,0.627499,0.747340,0.747350,0.794073
6,0.492617,0.896002,0.653842,0.743028,0.742569,0.783802
7,0.448417,0.925917,0.673442,0.741852,0.742371,0.782623
8,0.427994,0.939716,0.679870,0.741852,0.742024,0.785991
