epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_contradiction_recall
1,0.966510,0.556602,0.881081,0.598779,0.593528,0.446540
2,0.904223,0.613463,0.839877,0.629522,0.627591,0.564910
3,0.879365,0.633866,0.813222,0.642905,0.642100,0.579727
4,0.861556,0.647625,0.797643,0.652313,0.652239,0.628725
5,0.848123,0.658641,0.788713,0.654161,0.654107,0.622495
6,0.837531,0.666818,0.783515,0.659312,0.659025,0.667116
7,0.830156,0.672249,0.780279,0.660320,0.659957,0.648931
8,0.826912,0.674559,0.779720,0.659256,0.659098,0.658528
