epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_contradiction_recall
1,0.922612,0.592389,0.804341,0.646769,0.644447,0.675703
2,0.828971,0.669303,0.757173,0.669280,0.666149,0.763933
3,0.773037,0.709401,0.711365,0.696663,0.696662,0.709715
4,0.702154,0.757234,0.707335,0.699574,0.699083,0.710221
5,0.600688,0.823136,0.733930,0.699294,0.699058,0.745580
6,0.494787,0.891805,0.779282,0.694871,0.694875,0.724364
7,0.422756,0.938294,0.818057,0.694031,0.693981,0.728405
8,0.391501,0.958529,0.831482,0.691567,0.691637,0.726890
