variant,mechanism,experiment,params_M,val_macro_f1,corrected_test_f1,zs500_relation_f1,drop,fsr500,c500_precision
A1,concat only,ablation_a1_seed42,1.8,0.659957,0.6736104429008648,0.2850997686524002,0.3885106742484646,0.00423728813559322,0.4603174603174603
A2,concat + diff + product (no cross-attn),late_fusion_seed42,3.0,0.648085,0.6589334916709251,0.2626464042216784,0.3962870874492467,0.00423728813559322,0.41
A3,cross-attn only,ablation_a3_seed42,44.3,0.704912,0.7028409182951628,0.2802944932762377,0.42254642501892514,0.00847457627118644,0.4357142857142857
A4,cross-attn + diff,ablation_a4_seed42,44.9,0.699699,0.7022700416530392,0.27450109519749283,0.42776894645554636,0.029661016949152543,0.46153846153846156
A6,full (cross-attn + diff + product),camc_reg_seed42,45.5,0.702345,0.70375014510535,0.278098702039652,0.42565144306569797,0.00423728813559322,0.46808510638297873
