model,n_seeds,params_M,val_macro_f1_mean,val_macro_f1_std,corrected_test_f1_mean,corrected_test_f1_std,original_test_f1_mean,original_test_f1_std,corrected_test_contra_recall_mean,corrected_test_contra_recall_std,zs500_relation_f1_mean,zs500_relation_f1_std,probe_c_rate_falsified_mean,probe_c_rate_falsified_std,probe_c_rate_pristine_mean,probe_c_rate_pristine_std,probe_e_rate_falsified_mean,probe_e_rate_falsified_std,probe_e_rate_pristine_mean,probe_e_rate_pristine_std,fsr500_mean,fsr500_std,c500_precision_mean,c500_precision_std,visible_catch_mean,visible_catch_std
camc_reg,3,45.5,0.700221,0.001841007332956589,0.7048788238076394,0.0041977981018161675,0.6992283970675317,0.0024544034368972163,0.6713861213074637,0.010133566188173907,0.27988153320127407,0.004168665368075558,0.21998898678414097,0.025343860145304615,0.20080763582966227,0.02379710630101888,0.008443465491923641,0.003398221105281501,0.010279001468428781,0.00366648024145341,0.005649717514124294,0.0024463994457187533,0.46702190201008165,0.009743778743473739,0.20068027210884354,0.02567970896350595
text_only,3,0.6,0.628441,0.0017017203060432935,0.6465150813688785,0.0007197433508744439,0.633800356971323,0.001850299724246344,0.5993124745091184,0.027826036580850075,0.2696345929161022,0.00523711320879365,0.27165932452276065,0.023062653115860716,0.27165932452276065,0.023062653115860716,0.008351688693098384,0.0027578889870258296,0.008351688693098384,0.0027578889870258296,0.00847457627118644,0.0,0.4315546912980068,0.00985198450042109,0.20408163265306123,0.010204081632653059
late_fusion,3,3.0,0.649017,0.0008291972021177747,0.6593771909825038,0.0030289300030594294,0.6523263212667693,0.002614335858711929,0.6075860863485404,0.023609570361689272,0.2678466745091046,0.014019364555618927,0.20576358296622613,0.006096770807724814,0.19273127753303965,0.0063505300631447135,0.015418502202643172,0.009784887469117215,0.0151431718061674,0.007494855500449449,0.012711864406779662,0.007339198337156259,0.4263005945984669,0.03333248643326194,0.16326530612244897,0.04081632653061225
clip_fusion,3,1.6,0.6870166666666667,0.0019844254416161214,0.6980351836912277,0.003475251393155992,0.682747546572608,0.0018651441941338503,0.6978383732447707,0.012835607183294318,0.3046910780197597,0.007552707220793421,0.24513582966226138,0.05926983754389444,0.06222466960352423,0.024290008980659958,0.017712922173274595,0.00821543335261917,0.0381791483113069,0.013759175720932573,0.0211864406779661,0.011210810640104199,0.7857358044252034,0.009175925850589428,0.23129251700680273,0.056199699462103084
image_only,3,0.6,0.296174,0.023786956362679107,0.3018226384378786,0.015099930263816811,0.29911261341915835,0.024366908199847548,0.37248732739031637,0.25876245739887466,0.24532520642797434,0.0932079582982197,0.36912628487518356,0.4191705527648315,0.36591409691629956,0.41980545686202264,0.39987151248164465,0.3735323717280999,0.398586637298091,0.37224469350355016,0.40254237288135597,0.3659555185262103,0.5010968150179287,0.007506030961649034,0.3775510204081633,0.40969101836499455
clip_camc,3,20.8,0.7460433333333333,0.0012715869350277678,0.7471715725525716,0.002927685524302571,0.7436691745916713,0.0007084920983294355,0.7482374876187147,0.008277098790632828,0.28912672368706516,0.01380501772899085,0.2702826725403818,0.025963427674592886,0.17556901615271658,0.01723034545067667,0.018171806167400884,0.006509686353269212,0.02514684287812041,0.0074508970245208495,0.009887005649717515,0.004892798891437507,0.5932746216576492,0.003318974969533354,0.24829931972789115,0.042482979580941486
