channel,n,camc_reg,text_only,late_fusion,clip_fusion,image_only,clip_camc
visible_conflict,98,"0.201 [0.136,0.265]","0.204 [0.129,0.286]","0.163 [0.102,0.228]","0.231 [0.156,0.313]","0.378 [0.337,0.418]","0.248 [0.177,0.320]"
event_provenance,80,"0.133 [0.071,0.208]","0.208 [0.129,0.292]","0.175 [0.108,0.250]","0.142 [0.079,0.208]","0.388 [0.342,0.433]","0.238 [0.171,0.308]"
external_knowledge,66,"0.202 [0.126,0.288]","0.247 [0.146,0.343]","0.162 [0.086,0.242]","0.268 [0.172,0.379]","0.369 [0.328,0.414]","0.293 [0.202,0.384]"
temporal_provenance,3,"0.000 [0.000,0.000]","0.333 [0.000,1.000]","0.333 [0.000,1.000]","0.000 [0.000,0.000]","0.444 [0.333,0.667]","0.111 [0.000,0.333]"
other,3,"0.000 [0.000,0.000]","0.333 [0.000,1.000]","0.000 [0.000,0.000]","0.111 [0.000,0.333]","0.333 [0.333,0.333]","0.222 [0.000,0.667]"
