official_split,n,camc_reg,text_only,late_fusion,clip_fusion,image_only,clip_camc
person_sbert_text_text,53,"0.101 [0.038,0.176]","0.119 [0.044,0.208]","0.132 [0.069,0.208]","0.119 [0.050,0.201]","0.371 [0.327,0.415]","0.270 [0.189,0.365]"
scene_resnet_place,74,"0.248 [0.167,0.342]","0.275 [0.185,0.365]","0.239 [0.158,0.329]","0.342 [0.243,0.441]","0.374 [0.329,0.423]","0.275 [0.189,0.360]"
semantics_clip_text_image,55,"0.170 [0.097,0.255]","0.200 [0.109,0.303]","0.152 [0.073,0.242]","0.158 [0.085,0.242]","0.388 [0.339,0.436]","0.255 [0.170,0.345]"
semantics_clip_text_text,68,"0.157 [0.088,0.235]","0.255 [0.157,0.368]","0.127 [0.059,0.206]","0.172 [0.093,0.260]","0.382 [0.328,0.436]","0.221 [0.142,0.304]"
