channel,n,camc_reg,text_only,late_fusion,clip_fusion,image_only,clip_camc
visible_conflict,98,"0.799 [0.731,0.864]","0.796 [0.711,0.871]","0.837 [0.772,0.895]","0.769 [0.687,0.844]","0.622 [0.582,0.663]","0.752 [0.677,0.820]"
event_provenance,80,"0.204 [0.125,0.292]","0.283 [0.192,0.379]","0.242 [0.167,0.325]","0.237 [0.154,0.325]","0.738 [0.692,0.783]","0.312 [0.237,0.396]"
external_knowledge,66,"0.303 [0.207,0.399]","0.343 [0.232,0.449]","0.283 [0.187,0.384]","0.409 [0.293,0.525]","0.783 [0.742,0.823]","0.404 [0.298,0.510]"
