model,FSR_gold_NC,contradiction_recall,confusion_C_pred_N,confusion_N_pred_C,f1_E,f1_N,f1_C,drop
camc_reg,0.0056±0.0024,0.2007±0.0257,0.7993±0.0257,0.1792±0.0390,0.0088±0.0076,0.6258±0.0216,0.2050±0.0137,0.4250±0.0080
text_only,0.0085±0.0000,0.2041±0.0102,0.7857±0.0102,0.2569±0.0209,0.0304±0.0074,0.6011±0.0112,0.1775±0.0034,0.3769±0.0058
late_fusion,0.0127±0.0073,0.1633±0.0408,0.8265±0.0368,0.2042±0.0023,0.0298±0.0145,0.6105±0.0025,0.1632±0.0390,0.3915±0.0168
clip_fusion,0.0212±0.0112,0.2313±0.0562,0.7483±0.0482,0.1528±0.0458,0.0252±0.0007,0.6156±0.0101,0.2733±0.0321,0.3933±0.0107
image_only,0.4025±0.3660,0.3776±0.4097,0.2143±0.2920,0.3742±0.4127,0.2788±0.1533,0.2445±0.2817,0.2127±0.0982,0.0565±0.0867
clip_camc,0.0099±0.0049,0.2483±0.0425,0.7415±0.0524,0.2411±0.0209,0.0420±0.0313,0.5892±0.0015,0.2362±0.0292,0.4580±0.0122
