epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_contradiction_recall
1,0.923283,0.592274,0.804201,0.642569,0.639744,0.520795
2,0.829906,0.669479,0.741221,0.679135,0.678969,0.665600
3,0.773542,0.709199,0.711227,0.692463,0.692961,0.667621
4,0.702016,0.756892,0.703534,0.698846,0.699235,0.708032
5,0.600919,0.822972,0.727235,0.698678,0.699181,0.692372
6,0.494526,0.891713,0.778618,0.694199,0.693627,0.741707
7,0.421633,0.938691,0.813502,0.691063,0.691076,0.724028
8,0.390394,0.959279,0.826907,0.691847,0.691813,0.728069
