epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_contradiction_recall
1,0.925510,0.591046,0.822087,0.630250,0.628653,0.557838
2,0.838056,0.663065,0.751056,0.680367,0.680132,0.699613
3,0.788166,0.699258,0.721891,0.687311,0.686261,0.640343
4,0.731755,0.736903,0.706770,0.698566,0.697823,0.691699
5,0.652801,0.789703,0.710766,0.699574,0.699699,0.702812
6,0.557463,0.851360,0.748563,0.693471,0.693271,0.716451
7,0.480678,0.901427,0.787962,0.693191,0.693434,0.711062
8,0.443563,0.925917,0.804123,0.690615,0.690629,0.720660
