epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_contradiction_recall
1,0.849389,0.648889,0.684181,0.709206,0.709439,0.704327
2,0.739759,0.732006,0.642717,0.731269,0.731643,0.762755
3,0.684311,0.769164,0.623120,0.741908,0.742343,0.758040
4,0.622180,0.809169,0.620088,0.743756,0.743301,0.807880
5,0.553407,0.854850,0.630297,0.745156,0.744810,0.791884
6,0.490020,0.897390,0.654606,0.740676,0.740339,0.788011
7,0.446109,0.926483,0.674122,0.742580,0.743004,0.781445
8,0.425023,0.940985,0.680271,0.742412,0.742677,0.783297
